match_id,data,casa,ospite,gol_casa_reali,gol_ospite_reali,gol_casa_baseline,gol_ospite_baseline,tiri_dentro_casa_pre,tiri_fuori_casa_pre,tiri_dentro_casa_concessi_pre,tiri_fuori_casa_concessi_pre,tiri_dentro_ospite_pre,tiri_fuori_ospite_pre,tiri_dentro_ospite_concessi_pre,tiri_fuori_ospite_concessi_pre,expected_tiri_dentro_casa,expected_tiri_dentro_ospite,expected_tiri_fuori_casa,expected_tiri_fuori_ospite,tiri_dentro_casa_reali,tiri_fuori_casa_reali,tiri_dentro_ospite_reali,tiri_fuori_ospite_reali,valido
29908,2025-10-20 18:45:00,Cremonese,Udinese,1.0,1.0,1.1340579710144927,1.1613272311212817,3.5,2.5,11.166666666666666,7.0,7.0,6.666666666666667,7.833333333333333,3.6666666666666665,5.666666666666666,9.083333333333332,3.083333333333333,6.833333333333334,6,5,6,2,True
29919,2025-10-24 18:45:00,Milan,Pisa,2.0,2.0,1.3357142857142859,0.5806586270871985,10.0,4.0,5.0,3.857142857142857,6.428571428571429,2.857142857142857,10.285714285714286,6.285714285714286,10.142857142857142,5.714285714285714,5.142857142857142,3.357142857142857,8,11,3,5,True
29914,2025-10-25 13:00:00,Udinese,Lecce,3.0,2.0,1.056338028169014,1.0431522225577698,6.857142857142857,6.0,7.571428571428571,3.857142857142857,5.857142857142857,3.7142857142857144,8.285714285714286,3.857142857142857,7.571428571428571,6.7142857142857135,4.928571428571429,3.7857142857142856,8,0,2,11,True
29921,2025-10-25 13:00:00,Parma,Como,0.0,0.0,0.7802579365079365,1.1383761198753533,5.714285714285714,4.142857142857143,7.571428571428571,6.142857142857143,8.428571428571429,6.142857142857143,6.428571428571429,5.0,6.071428571428571,8.0,4.571428571428571,6.142857142857143,6,4,3,3,True
29920,2025-10-25 16:00:00,Napoli,Inter,3.0,1.0,1.4153620352250489,1.7477774242733484,11.285714285714286,5.571428571428571,6.142857142857143,4.428571428571429,12.285714285714286,6.714285714285714,5.571428571428571,4.142857142857143,8.428571428571429,9.214285714285715,4.857142857142858,5.571428571428571,3,4,9,6,True
29916,2025-10-25 18:45:00,Cremonese,Atalanta,1.0,1.0,1.1356177606177607,1.4440156504420834,3.857142857142857,2.857142857142857,10.428571428571429,6.285714285714286,9.714285714285714,5.285714285714286,5.571428571428571,6.0,4.714285714285714,10.071428571428571,4.428571428571429,5.785714285714286,4,5,11,9,True
29923,2025-10-26 10:30:00,Torino,Genoa,2.0,1.0,0.9919047619047618,1.0297043432757718,6.857142857142857,4.714285714285714,9.0,6.714285714285714,6.0,5.428571428571429,6.857142857142857,3.0,6.857142857142857,7.5,3.857142857142857,6.071428571428571,9,4,8,4,True
29915,2025-10-26 13:00:00,Verona,Cagliari,2.0,2.0,0.7086466165413534,1.0620831563959734,8.0,6.142857142857143,6.571428571428571,4.857142857142857,6.285714285714286,3.5714285714285716,10.0,4.857142857142857,9.0,6.428571428571429,5.5,4.214285714285714,7,3,3,4,True
29922,2025-10-26 13:00:00,Sassuolo,Roma,0.0,1.0,1.1428571428571428,1.0714285714285714,5.857142857142857,3.7142857142857144,8.571428571428571,5.285714285714286,8.142857142857142,4.857142857142857,4.857142857142857,5.142857142857143,5.357142857142857,8.357142857142858,4.428571428571429,5.071428571428571,7,4,10,5,True
29917,2025-10-26 16:00:00,Fiorentina,Bologna,2.0,2.0,0.9244505494505495,1.5282923795332997,5.428571428571429,5.428571428571429,8.714285714285714,3.7142857142857144,8.142857142857142,5.0,6.142857142857143,3.2857142857142856,5.7857142857142865,8.428571428571427,4.357142857142858,4.357142857142858,15,4,4,2,True
29918,2025-10-26 18:45:00,Lazio,Juventus,1.0,0.0,1.2870705244122966,1.1384050333190132,6.428571428571429,3.857142857142857,10.0,4.714285714285714,8.428571428571429,7.428571428571429,6.428571428571429,6.0,6.428571428571429,9.214285714285715,4.928571428571429,6.071428571428571,9,4,11,3,True
29931,2025-10-28 16:30:00,Lecce,Napoli,0.0,1.0,1.00625,1.8290178571428573,5.375,4.625,8.25,3.375,10.25,5.375,6.5,4.625,5.9375,9.25,4.625,4.375,4,3,9,5,True
29924,2025-10-28 18:45:00,Atalanta,Milan,1.0,1.0,1.3148148148148149,1.1458807680631453,9.875,5.75,5.375,5.875,9.75,4.875,4.75,4.0,7.3125,7.5625,4.875,5.375,11,6,4,2,True
